author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
МИЦ-Столичный ипотечный центр недвижимости,real_estate_agent,https://www.cian.ru/sale/flat/301078794/,Москва,sale,flat,2,15,2,41.6,-1,0,12000000,, Эдварда Грига,18к3,Потапово,Скандинавия
Октава-Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/301574886/,Москва,sale,flat,10,17,2,51.1,-1,0,12000000,,проспект Куприна,18к2,Бунинская аллея,Бунинские луга
ID 63426768,homeowner,https://www.cian.ru/sale/flat/301352512/,Москва,sale,flat,2,3,2,59.0,-1,0,12000000,, Андерсена,5,Коммунарка,Андерсен
Елена Туганова,realtor,https://www.cian.ru/sale/flat/301701181/,Москва,sale,flat,8,9,2,36.4,-1,0,12000000,Зюзино, Каховка,5К3,Каховская,
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/288658096/,Москва,sale,flat,7,17,2,56.5,-1,0,12150000,, Никитина,11к1,Рассказовка,Город-парк Первый Московский
Sellers Team,real_estate_agent,https://www.cian.ru/sale/flat/301430439/,Москва,sale,flat,1,17,2,54.0,-1,0,12300000,Гольяново,Хабаровская ,4,Щёлковская,
Самолет Плюс Москва ЦАО,real_estate_agent,https://www.cian.ru/sale/flat/299878273/,Москва,sale,flat,8,16,2,53.0,-1,0,12300000,Орехово-Борисово Южное,Елецкая ,20,Домодедовская,
Григорий Зильберг,realtor,https://www.cian.ru/sale/flat/300295606/,Москва,sale,flat,2,17,2,57.7,-1,0,12250000,Западное Дегунино,Базовская ,12,Грачёвская,
Ольга Залалова,realtor,https://www.cian.ru/sale/flat/292366766/,Москва,sale,flat,5,5,2,39.3,-1,0,12380000,Алексеевский,Ярославская ,17,ВДНХ,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/300615966/,Москва,sale,flat,14,16,2,50.4,-1,0,12400000,Орехово-Борисово Южное,Воронежская ,24,Зябликово,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/301064228/,Москва,sale,flat,26,45,2,42.1,-1,0,12499000,Бирюлево Восточное,Михневская ,8,Царицыно,Загорье
МИЦ-Столичный ипотечный центр недвижимости,real_estate_agent,https://www.cian.ru/sale/flat/300071306/,Москва,sale,flat,10,12,2,45.4,-1,0,12400000,Бибирево,Шенкурский проезд,8,Алтуфьево,
Качанова и партнеры,real_estate_agent,https://www.cian.ru/sale/flat/301279204/,Москва,sale,flat,5,12,2,47.8,-1,0,12500000,Рязанский,Яснополянская ,7К2,Вешняки,
МИЦ-Столичный ипотечный центр недвижимости,real_estate_agent,https://www.cian.ru/sale/flat/301128909/,Москва,sale,flat,10,22,2,60.5,-1,0,12550000,Бирюлево Восточное,6-я Радиальная ,вл7к28,Царицыно,Царицыно-2
ID 55045676,unknown,https://www.cian.ru/sale/flat/300588225/,Москва,sale,flat,2,12,2,47.0,-1,0,12590000,Измайлово,Никитинская ,12,Измайловская,
OPENCITY,real_estate_agent,https://www.cian.ru/sale/flat/300623826/,Москва,sale,flat,5,9,2,44.6,-1,0,12700000,Гольяново,Байкальская ,15,Щёлковская,
ID 107447743,realtor,https://www.cian.ru/sale/flat/299917593/,Москва,sale,flat,13,18,2,52.1,-1,0,12800000,Некрасовка, Вертолетчиков,21к4,Некрасовка,мой адрес На Вертолетчиков
ID 73038306,real_estate_agent,https://www.cian.ru/sale/flat/301065650/,Москва,sale,flat,2,9,2,39.8,-1,0,12900000,Гольяново,Байкальская ,27,Щёлковская,
ТРИИНВЕСТ,real_estate_agent,https://www.cian.ru/sale/flat/299776975/,Москва,sale,flat,4,9,2,45.0,-1,0,12990000,Кузьминки, Юных Ленинцев,75К1,Кузьминки,
Римарком Владис,real_estate_agent,https://www.cian.ru/sale/flat/300179706/,Москва,sale,flat,2,9,2,58.5,-1,0,12900000,,,31,Рассказовка,
ID 40052950,realtor,https://www.cian.ru/sale/flat/301427809/,Москва,sale,flat,7,9,2,44.0,-1,0,12900000,Вешняки, Красный Казанец,19К1,Выхино,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/300222046/,Москва,sale,flat,1,3,2,49.7,-1,0,13100000,Перово,3-я Владимирская ,10,Перово,
ID 73038306,real_estate_agent,https://www.cian.ru/sale/flat/301180623/,Москва,sale,flat,2,12,2,38.1,-1,0,13100000,Зюзино,Балаклавский проспект,42,Зюзино,
WHITE BROKER,real_estate_agent,https://www.cian.ru/sale/flat/299517108/,Москва,sale,flat,1,14,2,54.4,-1,0,13000000,Митино, Барышиха,16,Митино,
Московский Риэлторский Центр,real_estate_agent,https://www.cian.ru/sale/flat/301032427/,Москва,sale,flat,4,5,2,41.5,-1,0,13000000,Южное Тушино, Фабрициуса,56К1,Сходненская,
Самолет плюс,real_estate_agent,https://www.cian.ru/sale/flat/301247945/,Москва,sale,flat,4,16,2,54.2,-1,0,13150000,Южное Бутово, Академика Семенова,11К1,Бунинская аллея,
ID 115030802,realtor,https://www.cian.ru/sale/flat/301408494/,Москва,sale,flat,3,22,2,79.0,-1,0,13200000,Бирюлево Восточное,6-я Радиальная ,вл7к28,Царицыно,Царицыно-2
